run_id,feature,reducer,model,cv_accuracy,cv_f1,test_accuracy,test_f1,time_seconds
svm_rbf_cnn_none,cnn,none,svm_rbf,0.7725490196078432,0.7761850038281444,0.8312,0.8328803176501772,547.7372400760651
knn_cnn_none,cnn,none,knn,0.6151372549019608,0.6146086916162027,0.667,0.6667442260088727,30.13725185394287
logistic_cnn_none,cnn,none,logistic,0.8075294117647058,0.8074077886654202,0.8478,0.8478622463930539,8.892021179199219
naive_bayes_cnn_none,cnn,none,naive_bayes,0.5648627450980392,0.5603410783180052,0.617,0.6136945950916914,12.66598892211914
decision_tree_cnn_none,cnn,none,decision_tree,0.4749019607843136,0.4756203400923302,0.517,0.5164854127222684,69.57715702056885
random_forest_cnn_none,cnn,none,random_forest,0.7189019607843138,0.7155276881942799,0.7752,0.7728228715927321,88.09384417533875
perceptron_cnn_none,cnn,none,perceptron,0.7301960784313726,0.7294712571062881,0.7858,0.7857120481573839,27.18841314315796
mlp_sklearn_cnn_none,cnn,none,mlp_sklearn,0.803921568627451,0.8036455569862226,0.8468,0.8463396246503718,17.353455066680908
svm_linear_cnn_none,cnn,none,svm_linear,0.8022745098039215,0.8025102902984764,0.845,0.8451110569212588,267.81478548049927
gradient_boosting_cnn_pca,cnn,pca,gradient_boosting,0.6707450980392157,0.6706680422822238,0.7314,0.7314333417689054,900.3771257400513
svm_rbf_histogram_none,histogram,none,svm_rbf,0.2657254901960784,0.2597785812070805,0.283,0.2766149141268524,183.5943686962128
svm_rbf_hog_pca,hog,pca,svm_rbf,0.2619607843137255,0.2598812643745418,0.285,0.2837725397773186,246.66691517829892
svm_rbf_fused_pca,fused,pca,svm_rbf,0.2834509803921568,0.28100178990734126,0.305,0.30383701605842706,323.55172991752625
